pm2_5,pm10,no2,so2,co,o3,temperature_c,air_quality
23,95,80,28,3.89,78,25.7,Moderate
21,58,39,34,2.17,74,24.5,Moderate
46,249,63,57,4.75,118,35.2,Unhealthy for Sensitive
38,242,93,47,6.68,111,20.8,Unhealthy for Sensitive
11,81,60,12,3.28,54,28.3,Moderate
185,327,115,55,8.07,122,32.0,Unhealthy
112,284,115,67,6.08,137,28.7,Unhealthy
21,50,31,22,3.96,44,20.7,Moderate
85,372,139,93,6.57,119,32.3,Unhealthy
98,376,137,89,8.38,148,32.6,Very Unhealthy
140,320,122,89,6.6,134,38.2,Unhealthy
199,450,126,93,8.24,137,41.4,Very Unhealthy
147,224,103,64,8.17,106,36.0,Unhealthy
24,59,54,24,2.09,59,25.8,Moderate
7,39,8,9,0.92,49,22.6,Good
130,330,130,92,8.47,149,30.6,Very Unhealthy
95,361,108,66,8.45,124,32.6,Unhealthy
237,380,121,100,9.83,137,41.0,Unhealthy for Sensitive
123,392,116,90,7.53,122,32.2,Unhealthy
92,249,104,74,6.97,118,32.8,Unhealthy
30,137,42,39,4.58,73,29.5,Moderate
42,114,37,24,3.27,76,26.5,Moderate
300,323,127,87,9.1,141,30.5,Very Unhealthy
131,314,125,84,7.76,124,35.3,Unhealthy
42,213,72,52,8.18,78,31.7,Unhealthy for Sensitive
85,276,117,81,8.29,118,34.2,Unhealthy
108,311,116,66,9.11,138,37.0,Unhealthy
257,388,119,87,8.37,136,34.4,Very Unhealthy
151,361,127,88,9.3,140,29.0,Very Unhealthy
89,294,115,68,8.86,112,30.9,Unhealthy
24,147,34,30,4.1,39,23.6,Moderate
53,192,87,61,6.5,71,24.6,Unhealthy for Sensitive
51,219,73,47,4.89,84,29.0,Unhealthy for Sensitive
166,325,107,77,6.8,105,22.7,Unhealthy
34,185,64,56,4.77,104,26.1,Unhealthy for Sensitive
23,132,48,20,3.65,66,23.8,Moderate
41,289,75,36,4.4,113,34.2,Unhealthy for Sensitive
51,201,84,57,3.26,83,21.7,Unhealthy for Sensitive
43,148,76,44,6.13,118,26.4,Unhealthy for Sensitive
96,303,128,77,7.62,147,31.1,Unhealthy
5,47,10,4,0.37,31,26.0,Good
37,222,86,44,3.49,80,25.1,Unhealthy for Sensitive
117,281,105,68,6.33,114,26.4,Unhealthy
178,448,140,78,8.61,130,37.8,Very Unhealthy
22,41,58,28,1.99,37,20.9,Moderate
36,159,36,16,4.59,63,27.5,Moderate
48,186,66,51,5.64,84,30.8,Unhealthy for Sensitive
38,301,70,56,4.54,90,34.7,Unhealthy for Sensitive
92,385,101,94,8.24,135,32.7,Unhealthy
17,106,50,37,1.99,52,18.9,Moderate
300,450,145,91,9.19,150,38.4,Very Unhealthy
62,284,57,49,6.65,83,27.0,Unhealthy for Sensitive
43,331,107,72,5.26,121,32.9,Unhealthy
127,358,106,57,5.69,112,35.8,Unhealthy
196,436,141,100,8.53,142,38.4,Very Unhealthy
300,379,115,94,7.63,124,30.2,Very Unhealthy
54,212,75,57,6.83,73,21.9,Unhealthy for Sensitive
29,133,27,22,3.02,72,26.7,Moderate
38,226,67,49,3.55,84,24.2,Unhealthy for Sensitive
154,426,131,91,10.0,133,38.3,Very Unhealthy
155,422,133,88,9.0,136,38.3,Very Unhealthy
61,284,111,81,6.47,142,39.1,Unhealthy
40,280,73,39,6.12,84,27.3,Unhealthy for Sensitive
29,135,17,23,4.11,28,19.0,Moderate
43,197,97,45,5.98,91,25.2,Unhealthy for Sensitive
108,363,89,65,9.04,129,38.2,Unhealthy
49,237,104,39,6.01,76,27.7,Unhealthy for Sensitive
115,344,108,87,9.24,123,29.9,Unhealthy
42,150,94,53,4.24,67,25.2,Unhealthy for Sensitive
40,49,9,30,2.92,50,17.6,Moderate
52,192,82,56,4.6,91,20.7,Unhealthy for Sensitive
24,138,5,21,6.16,62,22.5,Moderate
56,349,93,96,6.59,145,30.0,Unhealthy
44,174,100,45,5.45,101,26.4,Unhealthy for Sensitive
68,285,115,55,9.39,104,26.1,Unhealthy
53,193,84,66,5.0,109,37.5,Unhealthy for Sensitive
52,379,125,47,8.7,129,29.1,Unhealthy
53,269,85,47,5.88,87,28.4,Unhealthy for Sensitive
55,281,58,61,3.39,105,31.4,Unhealthy for Sensitive
40,241,44,40,4.78,68,29.3,Unhealthy for Sensitive
89,319,111,68,8.57,136,33.1,Unhealthy
55,220,73,39,5.25,103,27.4,Unhealthy for Sensitive
22,155,16,37,2.19,69,27.8,Moderate
38,230,68,59,5.95,84,25.9,Unhealthy for Sensitive
128,300,88,79,9.0,129,30.8,Unhealthy for Sensitive
91,324,129,74,9.65,91,28.1,Unhealthy
47,198,70,61,5.35,66,24.7,Very Unhealthy
254,427,139,98,10.0,135,39.2,Very Unhealthy
48,203,107,57,5.11,91,27.4,Unhealthy for Sensitive
49,146,90,59,8.14,89,27.8,Unhealthy for Sensitive
274,380,122,97,9.56,150,36.3,Very Unhealthy
48,208,75,40,5.61,87,28.3,Unhealthy for Sensitive
11,239,105,73,9.24,101,20.6,Unhealthy
118,318,99,73,8.39,135,36.4,Unhealthy
35,264,87,59,4.58,98,30.6,Unhealthy for Sensitive
38,272,117,77,9.79,147,31.7,Very Unhealthy
52,147,63,42,6.28,96,29.8,Unhealthy for Sensitive
170,308,103,88,5.56,100,29.1,Unhealthy
300,390,124,91,8.86,122,33.3,Very Unhealthy
57,178,61,47,5.91,114,31.3,Unhealthy for Sensitive
111,265,127,75,7.63,107,28.3,Unhealthy
121,346,104,87,6.94,149,34.9,Unhealthy
50,151,107,53,3.33,97,37.1,Unhealthy for Sensitive
6,123,64,25,3.34,61,26.4,Moderate
48,288,85,50,7.83,90,24.1,Unhealthy for Sensitive
10,33,10,3,1.89,19,20.7,Good
20,204,43,30,3.21,95,35.2,Moderate
25,324,120,66,6.56,118,29.2,Unhealthy
13,46,14,15,1.48,10,18.4,Good
44,257,99,51,4.93,63,21.8,Unhealthy for Sensitive
71,337,92,85,7.28,112,33.3,Unhealthy
5,136,44,33,2.72,81,15.6,Moderate
266,435,144,88,7.55,146,30.4,Very Unhealthy
53,183,104,58,6.07,89,22.8,Unhealthy for Sensitive
24,93,44,30,4.02,49,20.5,Moderate
272,379,132,94,10.0,129,31.3,Very Unhealthy
64,322,110,62,7.86,86,35.8,Unhealthy for Sensitive
166,305,125,54,7.67,144,38.3,Unhealthy
90,382,110,79,7.75,120,34.7,Unhealthy
21,146,58,20,3.51,80,29.6,Moderate
300,374,121,86,10.0,146,34.8,Very Unhealthy
57,236,80,31,8.31,85,24.3,Unhealthy for Sensitive
11,28,22,24,1.05,46,21.5,Good
52,175,85,56,5.18,111,29.2,Unhealthy for Sensitive
108,240,131,54,6.03,150,33.5,Unhealthy
18,106,45,39,4.93,60,23.4,Moderate
54,321,113,69,7.93,114,33.9,Unhealthy
42,225,67,70,5.66,92,29.8,Unhealthy for Sensitive
32,132,39,39,2.74,53,20.9,Moderate
12,34,5,11,0.78,10,18.2,Good
232,450,142,95,8.94,147,34.4,Very Unhealthy
262,450,137,90,9.5,138,37.2,Very Unhealthy
55,149,62,47,6.35,107,28.4,Unhealthy for Sensitive
218,396,125,97,9.68,132,33.4,Very Unhealthy
53,153,69,49,3.74,102,28.1,Unhealthy for Sensitive
13,135,61,10,3.0,61,19.1,Moderate
184,432,124,90,9.63,130,34.3,Very Unhealthy
222,343,136,89,9.37,131,29.2,Very Unhealthy
205,351,147,91,10.0,141,37.3,Very Unhealthy
48,305,94,62,6.46,114,28.3,Unhealthy
38,165,62,39,5.28,94,25.6,Unhealthy for Sensitive
11,35,19,5,0.2,39,21.2,Good
50,247,46,63,5.13,89,24.0,Unhealthy for Sensitive
39,89,31,16,1.85,87,18.6,Unhealthy
243,371,128,100,9.7,150,32.2,Very Unhealthy
24,143,72,29,1.99,89,23.7,Moderate
58,190,79,69,6.29,71,24.9,Unhealthy for Sensitive
117,338,117,61,9.53,142,34.3,Unhealthy
27,51,64,19,2.72,64,22.4,Moderate
42,220,95,37,4.58,115,38.0,Unhealthy for Sensitive
104,262,117,70,8.22,114,25.0,Unhealthy
160,241,127,81,8.58,113,30.3,Unhealthy
126,410,136,93,9.41,135,31.7,Unhealthy
139,413,129,57,10.0,121,40.4,Unhealthy
147,362,143,95,9.81,141,29.5,Moderate
49,235,72,39,3.81,53,19.7,Unhealthy for Sensitive
61,219,130,88,7.82,137,27.6,Unhealthy
38,366,123,81,8.29,106,28.9,Unhealthy
120,392,124,94,10.0,150,38.5,Very Unhealthy
140,327,141,84,6.67,127,23.9,Unhealthy
60,323,110,67,7.25,139,36.9,Unhealthy
193,439,132,100,9.82,150,34.6,Very Unhealthy
47,266,105,48,3.84,95,30.3,Unhealthy for Sensitive
27,182,43,17,2.98,77,24.8,Moderate
41,235,76,50,4.53,90,17.9,Unhealthy for Sensitive
140,276,120,94,8.05,108,32.4,Unhealthy
47,157,89,35,4.54,78,22.5,Unhealthy for Sensitive
28,187,47,44,3.77,67,22.9,Moderate
234,427,129,93,9.69,135,35.6,Very Unhealthy
191,450,130,86,8.04,150,38.5,Very Unhealthy
23,92,52,33,4.31,55,24.8,Moderate
49,147,47,54,4.91,70,19.2,Unhealthy for Sensitive
199,450,137,80,9.81,137,36.1,Very Unhealthy
36,128,26,20,2.05,64,21.3,Moderate
41,215,93,52,6.61,89,33.5,Unhealthy for Sensitive
135,414,148,86,9.04,122,32.9,Very Unhealthy
92,271,88,68,8.05,118,26.9,Unhealthy
152,395,147,87,10.0,134,31.9,Very Unhealthy
119,324,102,60,8.2,131,32.0,Unhealthy
29,72,52,31,4.23,76,24.7,Unhealthy for Sensitive
94,278,122,95,6.59,136,40.2,Unhealthy
38,191,85,59,6.03,67,23.2,Unhealthy for Sensitive
159,327,106,82,8.81,105,30.8,Unhealthy
229,383,137,98,9.33,136,33.2,Very Unhealthy
168,377,126,94,9.49,132,33.9,Very Unhealthy
46,205,72,65,7.12,110,34.7,Unhealthy for Sensitive
26,70,42,26,4.17,75,24.1,Moderate
53,218,71,27,4.84,79,23.4,Unhealthy for Sensitive
47,117,20,43,3.24,72,30.1,Unhealthy
13,54,26,21,2.8,63,24.7,Good
51,195,50,52,5.46,83,21.4,Unhealthy for Sensitive
7,86,40,4,0.86,55,30.2,Good
76,295,108,88,10.0,134,39.8,Unhealthy
159,240,135,74,6.64,127,30.6,Unhealthy
176,306,97,86,8.27,139,33.0,Unhealthy
113,361,112,86,6.97,150,31.2,Unhealthy
47,202,51,31,5.91,78,25.9,Unhealthy for Sensitive
176,298,135,80,9.0,96,28.4,Unhealthy
128,331,130,85,6.34,134,30.0,Unhealthy
36,209,79,58,6.74,85,27.5,Unhealthy for Sensitive
228,413,138,91,9.3,150,40.6,Very Unhealthy
51,170,63,47,5.22,85,26.0,Unhealthy for Sensitive
49,220,93,50,6.07,68,20.0,Unhealthy for Sensitive
5,32,7,2,0.7,12,23.6,Good
54,197,106,49,6.17,81,24.0,Unhealthy for Sensitive
64,187,106,34,6.75,82,22.3,Unhealthy for Sensitive
71,276,103,59,7.47,117,30.5,Unhealthy
52,222,80,38,4.43,114,28.7,Unhealthy for Sensitive
10,61,17,8,1.32,15,18.3,Good
181,441,150,87,9.0,141,44.5,Very Unhealthy
23,83,45,36,3.05,44,17.9,Moderate
89,209,111,57,8.86,110,31.8,Unhealthy
126,296,95,56,8.72,108,32.2,Unhealthy
120,316,120,45,8.35,134,24.2,Unhealthy
55,253,99,43,4.96,93,33.0,Unhealthy for Sensitive
31,139,60,23,3.57,37,19.3,Moderate
48,229,77,58,6.5,78,21.1,Unhealthy for Sensitive
51,292,112,69,8.91,118,32.7,Unhealthy
87,302,105,51,7.41,150,34.9,Unhealthy
140,280,127,61,7.71,102,30.2,Unhealthy
44,175,72,59,6.67,93,29.4,Unhealthy for Sensitive
138,341,120,57,7.29,97,32.4,Unhealthy
32,85,33,21,3.83,63,21.9,Moderate
39,241,77,53,5.52,76,25.2,Unhealthy for Sensitive
34,33,68,29,1.53,54,15.0,Moderate
26,68,52,24,2.89,61,28.0,Moderate
49,207,62,61,3.93,91,32.4,Unhealthy for Sensitive
95,237,88,66,6.45,93,27.5,Unhealthy
44,126,50,26,4.8,78,30.4,Unhealthy for Sensitive
9,10,25,10,0.2,63,26.8,Good
29,135,57,26,2.52,44,16.9,Moderate
219,359,137,88,9.29,150,36.9,Very Unhealthy
33,48,48,14,3.33,67,17.5,Moderate
36,190,97,65,6.65,95,30.9,Unhealthy for Sensitive
186,303,121,86,8.67,111,26.3,Unhealthy
28,73,78,30,4.18,48,21.8,Moderate
56,280,71,53,5.87,103,36.9,Unhealthy for Sensitive
145,442,134,79,9.71,138,32.9,Very Unhealthy
37,240,85,38,5.77,88,25.7,Unhealthy for Sensitive
138,296,112,98,6.76,108,30.1,Unhealthy
53,242,88,75,4.66,82,28.0,Unhealthy for Sensitive
44,140,64,63,3.88,63,23.1,Unhealthy for Sensitive
74,348,123,63,5.52,131,33.2,Unhealthy
20,124,57,21,3.69,65,17.6,Moderate
42,220,93,73,5.2,86,25.1,Unhealthy for Sensitive
8,20,18,21,1.6,25,15.0,Good
51,157,91,51,3.92,87,33.5,Unhealthy for Sensitive
54,161,88,49,3.14,80,25.4,Unhealthy for Sensitive
14,55,53,8,1.02,44,25.0,Good
261,442,137,91,9.9,144,33.6,Very Unhealthy
236,379,126,98,8.82,139,38.0,Very Unhealthy
19,163,66,2,2.74,103,30.7,Moderate
11,16,60,12,0.2,39,17.1,Good
26,66,45,28,1.65,37,17.4,Moderate
300,362,136,91,10.0,148,36.9,Very Unhealthy
47,225,86,64,5.68,95,22.1,Unhealthy for Sensitive
33,251,61,56,5.06,118,27.4,Unhealthy for Sensitive
42,238,83,54,4.28,89,26.3,Unhealthy for Sensitive
101,316,115,95,7.96,134,44.4,Unhealthy
73,261,121,83,6.12,122,29.8,Unhealthy
86,338,132,77,7.56,88,30.2,Unhealthy
20,108,57,4,3.03,81,25.0,Moderate
8,41,12,16,0.2,19,20.3,Good
40,194,71,62,4.25,61,30.1,Unhealthy for Sensitive
87,270,108,73,7.23,139,27.0,Unhealthy
204,446,144,89,9.25,150,33.4,Very Unhealthy
38,188,87,87,6.88,87,30.9,Unhealthy for Sensitive
85,441,136,90,8.99,133,30.9,Very Unhealthy
293,433,134,97,9.82,150,36.0,Very Unhealthy
36,287,102,85,9.45,120,33.6,Unhealthy
155,397,118,92,9.82,143,37.2,Very Unhealthy
94,306,109,64,7.47,135,36.9,Unhealthy
300,399,148,95,9.51,150,37.6,Very Unhealthy
22,139,55,26,1.66,71,29.2,Moderate
129,242,116,58,7.33,124,36.4,Unhealthy
57,118,100,56,5.69,81,24.8,Unhealthy for Sensitive
23,94,33,35,3.38,82,32.8,Moderate
144,312,113,76,7.4,107,31.1,Unhealthy
150,290,83,77,5.64,136,39.4,Unhealthy
164,438,122,97,9.64,150,45.0,Very Unhealthy
92,215,108,83,8.62,115,25.6,Unhealthy
9,64,43,18,0.83,11,19.3,Good
5,23,28,21,2.33,10,15.0,Good
37,191,62,52,7.47,89,25.9,Unhealthy for Sensitive
45,224,92,43,4.81,67,21.4,Unhealthy for Sensitive
104,335,90,56,6.16,138,33.4,Unhealthy
85,273,94,66,7.47,126,31.9,Unhealthy
156,293,97,84,7.8,138,35.4,Unhealthy
223,402,144,95,9.62,137,36.0,Very Unhealthy
92,268,121,78,9.43,116,31.9,Unhealthy
32,63,34,15,2.02,56,26.6,Moderate
229,355,126,88,7.67,130,35.0,Unhealthy for Sensitive
5,17,5,2,0.2,19,17.6,Good
23,125,57,23,4.98,53,24.8,Moderate
129,299,102,66,9.61,116,38.9,Unhealthy
87,372,107,71,9.33,120,28.1,Unhealthy
32,106,54,8,3.74,57,24.5,Moderate
43,203,62,62,6.29,127,31.7,Unhealthy for Sensitive
104,271,96,61,6.77,150,39.7,Very Unhealthy
300,450,150,98,9.54,150,35.0,Very Unhealthy
50,141,78,57,2.73,80,23.4,Unhealthy for Sensitive
145,340,89,76,6.74,100,20.2,Unhealthy
129,316,136,78,7.56,121,24.2,Unhealthy
12,102,50,16,4.11,55,25.3,Moderate
45,188,73,52,6.56,77,24.1,Unhealthy for Sensitive
205,340,136,100,9.1,130,29.1,Very Unhealthy
209,375,129,87,9.56,130,33.2,Unhealthy for Sensitive
238,359,132,92,9.1,137,32.9,Very Unhealthy
65,319,109,84,7.28,136,39.2,Unhealthy
33,83,63,38,2.81,52,22.3,Moderate
85,299,112,63,7.71,147,34.3,Unhealthy
151,408,129,96,8.37,130,40.7,Good
118,231,106,61,7.99,114,22.7,Unhealthy
26,91,43,16,4.13,57,31.8,Moderate
227,414,133,95,8.83,140,39.3,Very Unhealthy
19,92,43,28,3.38,43,22.6,Moderate
158,265,120,67,8.44,127,34.2,Unhealthy
44,188,75,43,4.59,105,27.9,Unhealthy for Sensitive
118,351,102,76,7.65,123,28.8,Unhealthy
228,415,136,95,8.39,143,40.9,Very Unhealthy
23,65,47,27,4.72,66,24.5,Moderate
25,149,54,26,2.75,78,27.5,Moderate
32,66,68,25,4.21,72,21.7,Moderate
29,138,54,38,3.3,54,28.3,Moderate
166,370,138,94,9.95,134,38.9,Very Unhealthy
79,328,106,73,8.41,114,29.5,Unhealthy
57,229,83,26,5.7,101,26.0,Unhealthy for Sensitive
21,39,62,47,4.23,61,23.6,Moderate
43,218,63,64,6.0,75,32.2,Unhealthy for Sensitive
154,412,131,96,8.96,132,33.4,Very Unhealthy
73,252,97,69,6.23,98,31.1,Moderate
300,396,130,88,8.52,133,35.3,Very Unhealthy
57,199,62,37,4.14,90,21.5,Unhealthy for Sensitive
43,184,77,47,5.42,90,21.1,Unhealthy for Sensitive
153,245,108,75,7.88,150,33.8,Unhealthy
300,429,149,95,9.18,142,33.0,Very Unhealthy
17,180,47,8,3.83,46,21.2,Moderate
40,201,102,39,4.76,83,30.1,Unhealthy for Sensitive
55,172,76,70,6.49,93,20.5,Unhealthy for Sensitive
44,215,88,48,6.23,80,25.6,Unhealthy for Sensitive
10,56,39,18,2.06,62,32.0,Moderate
258,382,135,94,10.0,149,28.7,Very Unhealthy
25,130,40,41,4.52,72,19.1,Moderate
29,136,59,40,4.53,30,26.4,Moderate
105,345,126,80,8.2,97,32.8,Unhealthy
37,149,76,45,5.68,126,34.5,Unhealthy for Sensitive
39,30,75,41,3.0,64,22.7,Moderate
49,271,139,73,7.8,129,33.9,Unhealthy
34,159,76,44,4.41,71,23.2,Unhealthy
161,260,103,57,7.71,113,36.5,Unhealthy
36,204,68,47,6.92,83,33.5,Unhealthy for Sensitive
147,351,115,76,8.08,139,43.1,Unhealthy
29,86,49,23,3.75,36,25.9,Moderate
115,282,90,70,5.44,111,28.5,Unhealthy
120,250,133,69,9.54,129,37.6,Unhealthy
17,132,49,18,3.61,37,19.9,Moderate
26,84,46,46,2.71,71,20.7,Moderate
34,63,70,27,3.09,99,28.1,Moderate
144,302,117,59,7.73,105,32.3,Unhealthy
60,192,94,35,3.87,74,27.8,Unhealthy for Sensitive
31,265,121,74,7.48,120,28.2,Unhealthy
224,450,132,91,9.64,131,35.4,Unhealthy for Sensitive
300,404,133,86,8.25,150,32.4,Very Unhealthy
26,49,43,21,2.96,70,25.0,Moderate
41,226,95,53,3.77,84,32.1,Unhealthy for Sensitive
180,427,140,100,9.58,138,43.7,Very Unhealthy
39,197,113,47,5.53,121,27.1,Unhealthy for Sensitive
50,170,85,45,4.73,111,23.2,Unhealthy for Sensitive
28,108,54,30,4.15,80,24.1,Moderate
43,227,90,33,7.23,82,25.5,Unhealthy for Sensitive
144,295,103,89,8.3,105,32.2,Unhealthy
53,229,85,47,2.32,115,26.0,Unhealthy for Sensitive
55,243,113,78,5.84,129,32.0,Unhealthy
24,121,68,26,4.29,61,18.7,Moderate
90,298,93,77,8.0,129,34.8,Unhealthy
247,397,128,100,8.42,139,38.3,Very Unhealthy
50,269,102,47,7.36,135,32.2,Unhealthy
57,176,75,68,5.92,88,28.4,Unhealthy for Sensitive
37,222,79,64,7.67,78,21.5,Unhealthy for Sensitive
53,213,58,54,4.82,103,33.3,Unhealthy for Sensitive
27,218,115,92,7.05,129,39.1,Unhealthy
12,120,31,31,1.26,85,28.9,Moderate
182,438,143,93,8.72,131,35.6,Very Unhealthy
56,142,54,42,7.42,80,22.4,Unhealthy for Sensitive
231,442,136,76,9.19,139,37.0,Very Unhealthy
49,158,84,50,5.16,93,30.1,Unhealthy for Sensitive
50,148,80,44,5.63,110,35.8,Unhealthy for Sensitive
11,132,51,22,3.28,66,24.2,Moderate
12,26,31,8,0.48,19,16.2,Good
24,98,44,27,2.75,40,25.5,Moderate
78,346,127,74,6.98,127,34.0,Unhealthy
141,427,126,93,9.71,143,36.3,Very Unhealthy
228,433,130,91,9.8,141,31.7,Very Unhealthy
50,226,72,33,5.18,86,24.7,Unhealthy for Sensitive
52,266,105,96,8.47,108,28.1,Unhealthy
38,204,78,50,4.99,117,31.6,Unhealthy for Sensitive
133,450,130,92,9.41,143,32.1,Very Unhealthy
48,213,71,35,4.58,58,34.8,Unhealthy for Sensitive
98,289,124,66,8.18,124,27.5,Unhealthy
97,336,125,88,8.15,117,29.3,Unhealthy
36,52,92,11,2.23,40,26.3,Moderate
46,238,106,54,6.25,68,24.4,Unhealthy for Sensitive
13,146,70,38,4.41,89,29.9,Moderate
54,241,89,56,4.94,123,37.1,Unhealthy for Sensitive
300,450,126,86,10.0,132,33.5,Very Unhealthy
45,230,89,51,5.06,101,28.1,Unhealthy for Sensitive
30,98,82,23,1.86,31,15.0,Moderate
55,271,96,28,6.5,117,28.4,Unhealthy for Sensitive
137,339,98,63,7.58,84,29.2,Unhealthy for Sensitive
9,24,30,9,1.48,41,22.4,Good
53,182,72,43,4.48,100,23.3,Unhealthy for Sensitive
46,196,84,47,7.75,67,17.8,Very Unhealthy
39,185,110,81,6.32,92,26.4,Moderate
35,155,64,7,2.14,59,21.6,Moderate
60,145,94,66,4.76,63,22.5,Unhealthy for Sensitive
91,359,106,60,6.72,123,36.6,Unhealthy
61,329,103,65,9.11,120,33.2,Unhealthy
55,184,68,45,4.62,131,33.0,Unhealthy for Sensitive
36,152,87,40,7.17,86,25.9,Unhealthy for Sensitive
187,384,129,92,9.1,150,33.0,Very Unhealthy
54,131,103,56,3.19,109,31.3,Unhealthy for Sensitive
153,330,141,96,8.93,149,34.5,Very Unhealthy
5,61,89,42,3.51,45,25.6,Moderate
89,314,118,43,6.35,112,29.0,Unhealthy
20,76,29,22,1.3,79,23.2,Moderate
48,176,94,46,5.53,90,30.6,Unhealthy for Sensitive
55,180,97,58,5.31,66,20.7,Unhealthy for Sensitive
35,184,95,60,4.61,88,25.6,Unhealthy for Sensitive
34,138,22,27,1.9,56,22.8,Moderate
192,427,143,93,9.4,138,38.6,Very Unhealthy
129,281,113,71,9.64,111,34.4,Moderate
23,134,30,34,3.62,74,20.4,Moderate
38,219,82,26,3.74,84,25.3,Unhealthy for Sensitive
224,361,108,70,6.24,108,33.2,Unhealthy
268,450,133,98,8.59,148,31.2,Very Unhealthy
78,280,95,84,6.99,116,35.9,Unhealthy
91,276,87,84,8.32,113,27.8,Unhealthy
283,393,146,100,8.76,136,36.8,Very Unhealthy
44,204,82,48,5.26,104,25.4,Unhealthy for Sensitive
24,103,67,18,4.84,31,19.3,Moderate
20,59,34,19,4.73,81,29.2,Moderate
38,171,88,61,6.76,94,30.7,Unhealthy for Sensitive
10,11,11,14,1.6,36,17.8,Good
30,262,69,59,3.4,90,32.4,Unhealthy for Sensitive
48,173,92,45,3.88,98,36.0,Unhealthy for Sensitive
7,27,5,9,0.2,35,29.8,Good
61,166,106,42,7.26,115,33.4,Unhealthy for Sensitive
109,394,110,75,6.6,111,33.5,Unhealthy
122,369,123,79,8.13,111,31.0,Unhealthy
113,278,106,70,6.51,129,33.0,Unhealthy
21,104,30,34,2.12,45,23.6,Moderate
8,46,52,33,3.27,82,28.6,Moderate
32,261,68,61,6.51,110,28.8,Very Unhealthy
135,285,110,76,8.09,148,44.0,Unhealthy
43,162,71,28,5.41,80,25.7,Unhealthy for Sensitive
203,428,150,100,9.48,139,38.2,Very Unhealthy
261,385,149,90,9.12,137,28.3,Very Unhealthy
89,330,127,93,8.17,150,37.6,Very Unhealthy
107,381,120,66,7.3,119,35.3,Unhealthy
179,249,127,74,7.95,105,32.8,Unhealthy
23,142,48,36,3.71,87,29.4,Moderate
211,385,128,82,9.19,145,41.9,Very Unhealthy
117,323,94,60,8.15,121,34.3,Unhealthy
72,296,122,59,8.34,139,33.6,Unhealthy
48,223,86,47,4.93,89,33.8,Unhealthy for Sensitive
64,291,123,76,6.56,106,35.1,Unhealthy
137,313,95,78,7.6,101,31.8,Unhealthy
13,107,56,43,3.37,38,23.0,Moderate
33,41,51,25,4.08,74,26.1,Unhealthy for Sensitive
232,433,129,99,8.36,136,30.4,Very Unhealthy
128,330,114,81,7.2,118,29.4,Unhealthy
27,104,76,31,3.43,44,24.1,Moderate
49,172,94,57,5.46,77,25.7,Unhealthy for Sensitive
173,385,150,88,10.0,137,38.9,Very Unhealthy
24,170,43,19,3.52,42,26.8,Moderate
300,361,136,97,8.74,150,36.9,Very Unhealthy
67,319,106,71,9.71,102,28.3,Unhealthy
38,131,91,53,5.95,69,18.9,Unhealthy for Sensitive
43,218,94,63,6.19,75,27.8,Unhealthy for Sensitive
169,363,138,92,9.14,144,30.8,Very Unhealthy
205,256,136,62,8.39,119,32.8,Unhealthy
67,282,130,81,9.25,131,36.4,Unhealthy
44,152,91,32,4.54,95,28.8,Unhealthy for Sensitive
41,117,48,17,3.8,79,33.3,Moderate
52,173,31,63,2.9,64,25.8,Unhealthy for Sensitive
55,248,103,33,6.49,88,24.0,Unhealthy for Sensitive
101,307,105,90,5.38,101,34.3,Unhealthy
300,402,143,95,10.0,141,39.5,Very Unhealthy
99,266,127,56,7.15,103,31.1,Unhealthy
7,38,24,8,0.55,23,19.6,Good
180,308,116,65,6.88,149,39.6,Unhealthy
63,243,137,71,9.51,125,29.9,Unhealthy
55,196,85,59,3.6,87,26.8,Unhealthy for Sensitive
97,316,118,65,6.65,128,38.7,Unhealthy
30,214,79,30,6.15,83,28.5,Moderate
55,346,118,83,8.56,126,34.7,Unhealthy
89,284,98,79,7.9,124,39.4,Unhealthy
115,355,105,73,6.1,124,28.8,Unhealthy
48,215,96,35,2.86,89,29.7,Unhealthy for Sensitive
44,319,95,59,6.57,129,28.2,Moderate
128,283,99,57,6.92,127,35.4,Unhealthy
12,118,34,18,2.5,55,29.5,Moderate
37,177,89,40,4.5,94,25.8,Unhealthy for Sensitive
43,169,72,40,5.64,95,33.4,Unhealthy for Sensitive
78,327,86,81,7.76,135,35.3,Unhealthy
55,211,65,76,5.8,88,29.3,Unhealthy for Sensitive
15,91,41,23,2.69,66,21.9,Moderate
229,377,139,92,9.62,139,31.9,Very Unhealthy
39,97,52,20,2.41,71,27.1,Moderate
17,123,54,32,4.33,67,26.1,Moderate
32,67,60,35,5.07,72,25.2,Moderate
64,373,87,92,7.81,115,36.5,Unhealthy
115,445,150,99,10.0,150,37.6,Very Unhealthy
20,68,68,48,1.21,48,19.2,Moderate
90,297,126,78,10.0,135,38.3,Unhealthy
47,240,71,46,6.07,114,35.1,Unhealthy for Sensitive
39,160,78,42,6.6,97,30.1,Unhealthy for Sensitive
13,51,20,8,2.11,54,16.1,Good
38,142,57,29,3.11,19,26.9,Moderate
300,429,121,98,8.78,137,30.5,Very Unhealthy
15,122,74,9,1.9,35,22.6,Moderate
300,390,121,85,9.24,126,41.0,Very Unhealthy
102,300,100,80,6.63,120,31.3,Unhealthy
272,392,132,97,9.43,124,31.1,Very Unhealthy
65,210,92,67,3.57,67,18.3,Unhealthy for Sensitive
32,202,42,15,3.78,77,25.4,Moderate
