Vehicle_Type,Fuel_Type,Emission_Standard,CO,HC,NOx,PM,O2,Lambda,Issue
Car,Petrol,BS4,0.14,67,0.04,0.002,0.43,0.95,Normal
Car,Diesel,BS4,0.55,330,0.1,0.006,0.51,1.13,DPF Clogging
Car,Diesel,BS6,0.35,673,0.1,0.006,0.68,1.08,Spark Plug Issue
Car,Diesel,BS4,0.38,682,0.05,0.002,0.65,1.02,Spark Plug Issue
Car,Petrol,BS6,0.82,362,0.17,0.016,0.44,0.82,Fuel Injector Issue
Car,Diesel,BS6,0.41,514,0.13,0.006,0.52,1.03,Engine Misfire
Car,Petrol,BS4,0.62,532,0.17,0.014,0.41,0.8,Rich Fuel Mixture
Car,Petrol,BS4,0.58,531,0.06,0.008,0.67,1.2,Spark Plug Issue
Car,Petrol,BS6,0.43,326,0.1,0.011,0.6,1.14,DPF Clogging
Car,Petrol,BS4,0.18,81,0.05,0.003,0.47,0.99,Normal
Car,Petrol,BS4,0.56,378,0.25,0.024,0.73,1.08,Turbocharger Issue
Car,Diesel,BS4,0.71,330,0.09,0.004,0.35,1.17,DPF Clogging
Car,Diesel,BS4,0.44,248,0.08,0.01,0.39,1.17,EGR Valve Problem
Car,Petrol,BS4,0.68,423,0.09,0.007,0.71,1.03,DPF Clogging
Car,Diesel,BS6,0.79,564,0.1,0.018,0.29,0.71,Fuel Injector Issue
Car,Diesel,BS6,0.47,478,0.21,0.024,0.54,1.04,Turbocharger Issue
Car,Petrol,BS4,0.72,546,0.09,0.017,0.35,0.84,Rich Fuel Mixture
Car,Diesel,BS6,0.51,345,0.14,0.011,0.34,1.1,DPF Clogging
Car,Petrol,BS6,0.33,528,0.08,0.006,0.85,1.23,Engine Misfire
Car,Diesel,BS4,0.51,423,0.13,0.02,0.58,0.88,Turbocharger Issue
Car,Diesel,BS4,0.52,298,0.13,0.016,0.77,0.88,Turbocharger Issue
Car,Diesel,BS6,0.21,112,0.05,0.001,0.35,0.97,Normal
Car,Diesel,BS4,0.72,667,0.1,0.006,0.66,1.1,Engine Misfire
Car,Petrol,BS6,0.62,414,0.08,0.003,0.75,1.21,Spark Plug Issue
Car,Petrol,BS4,0.65,280,0.22,0.016,0.6,0.88,Turbocharger Issue
Car,Diesel,BS6,0.51,275,0.16,0.014,0.55,1.2,DPF Clogging
Car,Petrol,BS4,0.62,472,0.1,0.007,0.27,0.82,Fuel Injector Issue
Car,Diesel,BS6,0.51,384,0.13,0.017,0.53,1.07,Turbocharger Issue
Car,Petrol,BS6,0.73,461,0.15,0.005,0.73,1.04,Engine Misfire
Car,Petrol,BS4,0.51,242,0.08,0.015,0.61,1.08,DPF Clogging
Car,Petrol,BS6,0.5,402,0.09,0.003,0.54,1.01,Spark Plug Issue
Car,Diesel,BS4,0.61,449,0.25,0.015,0.48,1.09,Injector Problem
Car,Petrol,BS6,0.46,304,0.16,0.014,0.66,1.0,Turbocharger Issue
Car,Diesel,BS4,0.29,116,0.01,0.003,0.34,0.97,Normal
Car,Diesel,BS4,0.65,534,0.15,0.005,0.51,1.17,Spark Plug Issue
Car,Diesel,BS4,0.65,240,0.18,0.015,0.71,0.99,EGR Valve Problem
Car,Diesel,BS6,0.9,351,0.08,0.014,0.45,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.63,250,0.17,0.007,0.54,1.19,Air Filter Clogged
Car,Petrol,BS6,0.53,545,0.11,0.014,0.28,0.7,Rich Fuel Mixture
Car,Petrol,BS6,0.58,394,0.12,0.019,0.21,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.4,104,0.05,0.002,0.38,1.0,Normal
Car,Petrol,BS6,0.54,349,0.19,0.016,0.61,1.09,Injector Problem
Car,Petrol,BS6,0.53,369,0.11,0.014,0.82,0.99,Injector Problem
Car,Diesel,BS6,0.65,428,0.16,0.013,0.37,1.05,Air Filter Clogged
Car,Petrol,BS6,0.29,176,0.03,0.002,0.54,1.04,Normal
Car,Diesel,BS4,0.54,437,0.12,0.011,0.3,0.89,Fuel Injector Issue
Car,Petrol,BS4,0.56,387,0.12,0.017,0.47,0.98,Injector Problem
Car,Petrol,BS6,0.31,193,0.05,0.001,0.58,1.03,Normal
Car,Diesel,BS4,0.53,495,0.16,0.011,0.36,0.72,Fuel Injector Issue
Car,Diesel,BS6,0.54,496,0.15,0.018,0.67,1.01,Injector Problem
Car,Petrol,BS4,0.31,476,0.13,0.006,0.79,1.24,Spark Plug Issue
Car,Petrol,BS6,0.66,387,0.15,0.013,0.59,0.95,Turbocharger Issue
Car,Diesel,BS6,0.56,356,0.09,0.008,0.36,0.8,Fuel Injector Issue
Car,Petrol,BS6,0.23,45,0.05,0.003,0.68,0.98,Normal
Car,Diesel,BS4,0.75,673,0.09,0.005,0.86,1.26,Spark Plug Issue
Car,Petrol,BS4,0.4,390,0.11,0.012,0.65,1.15,Air Filter Clogged
Car,Diesel,BS6,0.43,336,0.14,0.021,0.62,0.87,Turbocharger Issue
Car,Petrol,BS4,0.37,162,0.03,0.003,0.62,0.99,Normal
Car,Petrol,BS6,0.77,546,0.14,0.007,0.38,0.91,Rich Fuel Mixture
Car,Diesel,BS6,0.46,232,0.17,0.004,0.6,0.92,Air Filter Clogged
Car,Diesel,BS6,0.43,242,0.13,0.014,0.64,1.06,DPF Clogging
Car,Diesel,BS6,0.61,420,0.21,0.013,0.43,1.01,Turbocharger Issue
Car,Diesel,BS4,0.63,557,0.13,0.011,0.22,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.4,513,0.1,0.003,0.75,1.23,Spark Plug Issue
Car,Diesel,BS4,0.5,477,0.2,0.007,0.38,0.96,Air Filter Clogged
Car,Petrol,BS4,0.85,371,0.08,0.007,0.31,0.76,Fuel Injector Issue
Car,Diesel,BS4,0.61,610,0.07,0.002,0.69,1.02,Spark Plug Issue
Car,Diesel,BS4,0.57,573,0.18,0.006,0.44,0.85,Rich Fuel Mixture
Car,Diesel,BS6,0.75,474,0.07,0.007,0.76,1.07,Spark Plug Issue
Car,Diesel,BS6,0.59,692,0.13,0.004,0.86,1.16,Engine Misfire
Car,Diesel,BS6,0.53,339,0.1,0.008,0.41,0.9,Fuel Injector Issue
Car,Diesel,BS4,0.54,429,0.08,0.007,0.65,1.07,Air Filter Clogged
Car,Petrol,BS4,0.54,308,0.09,0.015,0.7,1.09,DPF Clogging
Car,Petrol,BS4,0.66,300,0.22,0.012,0.48,1.03,Turbocharger Issue
Car,Diesel,BS6,0.69,552,0.07,0.01,0.61,1.29,Spark Plug Issue
Car,Diesel,BS4,0.18,164,0.02,0.002,0.64,1.02,Normal
Car,Diesel,BS6,0.17,132,0.03,0.002,0.43,0.97,Normal
Car,Petrol,BS6,0.46,440,0.08,0.006,0.59,0.95,EGR Valve Problem
Car,Diesel,BS4,0.43,259,0.12,0.014,0.69,0.85,Turbocharger Issue
Car,Diesel,BS4,0.44,358,0.23,0.021,0.76,0.86,Injector Problem
Car,Diesel,BS6,0.46,327,0.11,0.014,0.62,0.93,Injector Problem
Car,Petrol,BS4,0.58,584,0.15,0.005,0.52,1.0,Spark Plug Issue
Car,Diesel,BS4,0.58,474,0.18,0.008,0.23,0.89,Fuel Injector Issue
Car,Petrol,BS6,0.59,519,0.12,0.011,0.25,0.89,Fuel Injector Issue
Car,Diesel,BS6,0.47,354,0.17,0.007,0.73,1.01,Air Filter Clogged
Car,Petrol,BS6,0.6,363,0.17,0.014,0.52,1.19,EGR Valve Problem
Car,Diesel,BS6,0.9,487,0.11,0.008,0.22,0.72,Fuel Injector Issue
Car,Petrol,BS4,0.66,350,0.12,0.017,0.44,0.7,Rich Fuel Mixture
Car,Petrol,BS6,0.86,359,0.15,0.009,0.44,0.73,Fuel Injector Issue
Car,Diesel,BS6,0.47,494,0.16,0.006,0.55,1.1,DPF Clogging
Car,Petrol,BS6,0.59,423,0.14,0.005,0.73,1.05,Spark Plug Issue
Car,Petrol,BS4,0.38,132,0.05,0.002,0.56,1.03,Normal
Car,Diesel,BS4,0.52,336,0.17,0.012,0.41,1.0,DPF Clogging
Car,Diesel,BS6,0.35,412,0.05,0.005,0.73,1.17,Spark Plug Issue
Car,Diesel,BS4,0.68,425,0.05,0.004,0.56,1.29,Spark Plug Issue
Car,Diesel,BS6,0.58,483,0.19,0.007,0.63,1.05,DPF Clogging
Car,Petrol,BS6,0.67,522,0.14,0.008,0.55,1.19,Engine Misfire
Car,Petrol,BS6,0.6,340,0.13,0.014,0.55,1.08,Turbocharger Issue
Car,Diesel,BS4,0.44,521,0.12,0.002,0.81,1.2,Engine Misfire
Car,Diesel,BS6,0.13,138,0.04,0.002,0.38,0.99,Normal
Car,Petrol,BS4,0.68,467,0.13,0.013,0.75,0.87,Turbocharger Issue
Car,Diesel,BS6,0.11,159,0.0,0.002,0.52,1.02,Normal
Car,Diesel,BS4,0.44,458,0.18,0.008,0.78,0.94,EGR Valve Problem
Car,Petrol,BS4,0.63,481,0.12,0.012,0.47,0.7,Rich Fuel Mixture
Car,Diesel,BS6,0.58,622,0.12,0.007,0.62,1.07,Engine Misfire
Car,Petrol,BS6,0.63,526,0.11,0.018,0.24,0.83,Fuel Injector Issue
Car,Petrol,BS6,0.69,440,0.11,0.014,0.21,0.93,Fuel Injector Issue
Car,Diesel,BS4,0.7,416,0.18,0.012,0.25,0.92,Fuel Injector Issue
Car,Diesel,BS4,0.84,422,0.14,0.017,0.38,0.72,Fuel Injector Issue
Car,Diesel,BS6,0.55,473,0.14,0.004,0.38,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.66,217,0.18,0.008,0.6,1.13,EGR Valve Problem
Car,Diesel,BS4,0.62,582,0.1,0.011,0.43,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.66,547,0.06,0.007,0.73,1.2,Engine Misfire
Car,Petrol,BS4,0.74,587,0.18,0.008,0.28,0.87,Fuel Injector Issue
Car,Diesel,BS6,0.26,93,0.02,0.003,0.55,0.96,Normal
Car,Petrol,BS6,0.49,401,0.1,0.004,0.46,1.02,Air Filter Clogged
Car,Petrol,BS4,0.46,297,0.16,0.021,0.5,0.92,Turbocharger Issue
Car,Petrol,BS6,0.68,521,0.1,0.014,0.46,0.75,Fuel Injector Issue
Car,Diesel,BS4,0.53,394,0.18,0.007,0.53,1.16,EGR Valve Problem
Car,Diesel,BS4,0.46,458,0.09,0.01,0.66,0.97,EGR Valve Problem
Car,Petrol,BS4,0.52,332,0.1,0.012,0.37,1.14,EGR Valve Problem
Car,Petrol,BS4,0.42,636,0.11,0.009,0.69,1.04,Spark Plug Issue
Car,Diesel,BS6,0.51,209,0.14,0.011,0.54,1.05,Air Filter Clogged
Car,Petrol,BS6,0.73,532,0.09,0.006,0.82,1.26,Engine Misfire
Car,Petrol,BS6,0.71,453,0.09,0.005,0.64,1.15,Spark Plug Issue
Car,Diesel,BS4,0.5,439,0.22,0.015,0.63,0.88,Turbocharger Issue
Car,Petrol,BS4,0.6,417,0.07,0.003,0.66,1.27,Spark Plug Issue
Car,Diesel,BS6,0.28,118,0.02,0.001,0.33,1.05,Normal
Car,Diesel,BS4,0.71,553,0.14,0.016,0.48,0.83,Rich Fuel Mixture
Car,Diesel,BS6,0.72,486,0.11,0.009,0.61,1.05,Engine Misfire
Car,Petrol,BS6,0.62,298,0.13,0.018,0.65,0.99,Turbocharger Issue
Car,Diesel,BS6,0.61,405,0.08,0.013,0.55,1.11,EGR Valve Problem
Car,Diesel,BS4,0.65,498,0.08,0.007,0.44,0.8,Rich Fuel Mixture
Car,Diesel,BS4,0.17,135,0.05,0.003,0.45,1.04,Normal
Car,Diesel,BS4,0.75,324,0.14,0.012,0.3,0.83,Rich Fuel Mixture
Car,Petrol,BS6,0.46,688,0.14,0.007,0.78,1.29,Engine Misfire
Car,Diesel,BS4,0.6,431,0.08,0.004,0.65,1.2,Spark Plug Issue
Car,Diesel,BS4,0.63,251,0.22,0.018,0.41,0.92,Turbocharger Issue
Car,Petrol,BS4,0.38,529,0.09,0.002,0.65,1.12,Engine Misfire
Car,Diesel,BS4,0.4,532,0.08,0.006,0.58,1.08,Spark Plug Issue
Car,Petrol,BS6,0.58,468,0.08,0.007,0.67,1.23,Spark Plug Issue
Car,Diesel,BS4,0.17,190,0.04,0.003,0.37,1.01,Normal
Car,Diesel,BS4,0.32,630,0.14,0.004,0.72,1.03,Engine Misfire
Car,Diesel,BS4,0.78,608,0.14,0.002,0.6,1.13,Spark Plug Issue
Car,Petrol,BS6,0.52,460,0.11,0.008,0.35,0.96,Rich Fuel Mixture
Car,Diesel,BS4,0.45,409,0.11,0.005,0.69,1.14,DPF Clogging
Car,Petrol,BS6,0.42,238,0.17,0.007,0.65,0.91,DPF Clogging
Car,Diesel,BS6,0.74,503,0.15,0.008,0.73,1.0,Spark Plug Issue
Car,Diesel,BS4,0.66,366,0.1,0.015,0.35,0.85,Rich Fuel Mixture
Car,Petrol,BS6,0.74,332,0.13,0.018,0.23,0.71,Fuel Injector Issue
Car,Petrol,BS4,0.56,370,0.21,0.012,0.49,0.86,Turbocharger Issue
Car,Petrol,BS6,0.56,381,0.15,0.005,0.49,1.1,Air Filter Clogged
Car,Petrol,BS6,0.19,176,0.02,0.002,0.33,1.0,Normal
Car,Petrol,BS6,0.68,402,0.1,0.009,0.22,0.88,Rich Fuel Mixture
Car,Diesel,BS4,0.76,693,0.06,0.006,0.86,1.0,Spark Plug Issue
Car,Petrol,BS6,0.69,255,0.18,0.004,0.36,1.01,EGR Valve Problem
Car,Petrol,BS6,0.39,208,0.18,0.003,0.35,1.1,DPF Clogging
Car,Diesel,BS6,0.69,392,0.22,0.022,0.54,1.04,Turbocharger Issue
Car,Diesel,BS4,0.88,313,0.1,0.019,0.38,0.9,Rich Fuel Mixture
Car,Petrol,BS6,0.46,400,0.16,0.025,0.39,0.94,Injector Problem
Car,Petrol,BS6,0.67,438,0.12,0.017,0.72,0.92,Turbocharger Issue
Car,Petrol,BS4,0.11,198,0.02,0.002,0.45,0.95,Normal
Car,Diesel,BS6,0.63,598,0.09,0.01,0.86,1.0,Engine Misfire
Car,Petrol,BS4,0.59,437,0.19,0.009,0.48,0.87,Injector Problem
Car,Diesel,BS4,0.52,413,0.25,0.021,0.7,0.96,Turbocharger Issue
Car,Petrol,BS4,0.64,622,0.11,0.005,0.84,1.2,Spark Plug Issue
Car,Diesel,BS6,0.48,384,0.19,0.017,0.8,0.93,Injector Problem
Car,Diesel,BS6,0.67,314,0.16,0.005,0.42,1.0,EGR Valve Problem
Car,Diesel,BS6,0.55,386,0.11,0.019,0.61,0.88,Injector Problem
Car,Diesel,BS6,0.38,234,0.13,0.007,0.62,0.92,Air Filter Clogged
Car,Diesel,BS4,0.58,258,0.23,0.011,0.63,1.1,Injector Problem
Car,Diesel,BS6,0.52,434,0.09,0.013,0.25,0.73,Rich Fuel Mixture
Car,Diesel,BS4,0.84,365,0.1,0.006,0.31,0.91,Rich Fuel Mixture
Car,Diesel,BS6,0.63,549,0.08,0.005,0.32,0.9,Fuel Injector Issue
Car,Diesel,BS4,0.37,204,0.03,0.003,0.38,1.06,Normal
Car,Petrol,BS4,0.3,164,0.03,0.001,0.58,1.02,Normal
Car,Diesel,BS6,0.67,534,0.13,0.011,0.41,0.91,Rich Fuel Mixture
Car,Petrol,BS4,0.5,440,0.18,0.007,0.34,1.05,EGR Valve Problem
Car,Petrol,BS6,0.52,468,0.24,0.017,0.47,1.01,Injector Problem
Car,Diesel,BS6,0.75,479,0.1,0.007,0.64,1.25,Spark Plug Issue
Car,Petrol,BS6,0.54,437,0.1,0.015,0.61,1.09,Air Filter Clogged
Car,Diesel,BS6,0.59,510,0.09,0.003,0.53,1.07,Spark Plug Issue
Car,Petrol,BS4,0.43,296,0.11,0.003,0.5,1.16,EGR Valve Problem
Car,Petrol,BS4,0.4,484,0.25,0.019,0.63,0.86,Turbocharger Issue
Car,Diesel,BS6,0.48,334,0.17,0.003,0.73,1.07,Air Filter Clogged
Car,Diesel,BS4,0.38,468,0.07,0.01,0.5,1.06,Engine Misfire
Car,Diesel,BS4,0.79,536,0.16,0.015,0.3,0.8,Fuel Injector Issue
Car,Petrol,BS6,0.73,499,0.15,0.006,0.49,0.88,Fuel Injector Issue
Car,Diesel,BS6,0.46,220,0.18,0.007,0.42,0.94,EGR Valve Problem
Car,Petrol,BS6,0.67,587,0.14,0.004,0.51,1.13,Spark Plug Issue
Car,Diesel,BS4,0.47,437,0.15,0.013,0.72,0.98,EGR Valve Problem
Car,Petrol,BS6,0.74,514,0.06,0.009,0.69,1.16,Spark Plug Issue
Car,Diesel,BS4,0.69,459,0.11,0.016,0.5,0.88,Fuel Injector Issue
Car,Petrol,BS4,0.7,473,0.08,0.012,0.33,0.79,Rich Fuel Mixture
Car,Petrol,BS4,0.52,517,0.07,0.004,0.67,1.2,Engine Misfire
Car,Diesel,BS4,0.46,593,0.09,0.005,0.71,1.24,Engine Misfire
Car,Petrol,BS6,0.47,233,0.11,0.011,0.51,1.12,Air Filter Clogged
Car,Petrol,BS4,0.57,444,0.2,0.018,0.66,0.98,Injector Problem
Car,Diesel,BS4,0.64,299,0.15,0.007,0.43,1.04,EGR Valve Problem
Car,Petrol,BS6,0.65,498,0.14,0.017,0.58,0.89,Turbocharger Issue
Car,Diesel,BS6,0.9,541,0.16,0.006,0.29,0.84,Rich Fuel Mixture
Car,Diesel,BS6,0.64,398,0.11,0.025,0.65,1.04,Injector Problem
Car,Diesel,BS4,0.85,443,0.15,0.017,0.26,0.87,Rich Fuel Mixture
Car,Diesel,BS4,0.52,396,0.19,0.025,0.56,1.05,Turbocharger Issue
Car,Petrol,BS4,0.61,411,0.1,0.008,0.52,1.17,Engine Misfire
Car,Petrol,BS4,0.59,371,0.2,0.023,0.79,0.99,Turbocharger Issue
Car,Diesel,BS4,0.47,254,0.13,0.024,0.58,1.04,Injector Problem
Car,Petrol,BS6,0.22,143,0.04,0.001,0.57,0.98,Normal
Car,Petrol,BS6,0.34,423,0.15,0.01,0.53,1.09,Spark Plug Issue
Car,Diesel,BS6,0.7,306,0.12,0.019,0.5,0.76,Fuel Injector Issue
Car,Diesel,BS4,0.74,489,0.12,0.007,0.84,1.14,Engine Misfire
Car,Petrol,BS4,0.14,188,0.02,0.002,0.48,0.98,Normal
Car,Diesel,BS4,0.46,353,0.13,0.014,0.53,1.13,DPF Clogging
Car,Diesel,BS6,0.51,404,0.1,0.009,0.56,1.07,Engine Misfire
Car,Petrol,BS6,0.53,566,0.13,0.016,0.32,0.86,Rich Fuel Mixture
Car,Diesel,BS4,0.85,353,0.09,0.01,0.25,0.93,Fuel Injector Issue
Car,Diesel,BS6,0.67,384,0.2,0.021,0.54,0.9,Turbocharger Issue
Car,Petrol,BS4,0.81,589,0.12,0.009,0.36,0.81,Rich Fuel Mixture
Car,Petrol,BS4,0.65,362,0.11,0.005,0.64,1.04,EGR Valve Problem
Car,Petrol,BS4,0.62,353,0.17,0.019,0.34,0.78,Rich Fuel Mixture
Car,Petrol,BS6,0.1,107,0.02,0.002,0.56,1.03,Normal
Car,Diesel,BS4,0.64,674,0.06,0.008,0.71,1.27,Engine Misfire
Car,Petrol,BS6,0.22,171,0.02,0.001,0.34,1.01,Normal
Car,Diesel,BS6,0.73,541,0.17,0.018,0.32,0.94,Rich Fuel Mixture
Car,Petrol,BS4,0.6,484,0.12,0.024,0.47,1.0,Turbocharger Issue
Car,Petrol,BS6,0.77,537,0.15,0.003,0.75,1.04,Spark Plug Issue
Car,Petrol,BS4,0.41,358,0.09,0.004,0.47,0.95,EGR Valve Problem
Car,Diesel,BS6,0.55,373,0.14,0.012,0.51,0.9,Fuel Injector Issue
Car,Diesel,BS4,0.53,456,0.19,0.018,0.61,1.04,Turbocharger Issue
Car,Petrol,BS6,0.48,656,0.09,0.003,0.66,1.13,Spark Plug Issue
Car,Diesel,BS4,0.48,214,0.14,0.008,0.38,0.93,EGR Valve Problem
Car,Petrol,BS4,0.75,296,0.1,0.015,0.37,0.8,Rich Fuel Mixture
Car,Diesel,BS6,0.67,296,0.19,0.011,0.44,0.95,Air Filter Clogged
Car,Diesel,BS6,0.49,477,0.13,0.018,0.75,0.97,Injector Problem
Car,Diesel,BS4,0.51,508,0.12,0.012,0.28,0.95,Fuel Injector Issue
Car,Petrol,BS4,0.17,195,0.04,0.003,0.35,0.99,Normal
Car,Petrol,BS6,0.51,501,0.1,0.011,0.39,0.9,Fuel Injector Issue
Car,Diesel,BS4,0.45,434,0.15,0.005,0.51,1.19,EGR Valve Problem
Car,Petrol,BS4,0.13,168,0.03,0.002,0.42,1.01,Normal
Car,Diesel,BS6,0.68,313,0.11,0.018,0.48,0.92,Turbocharger Issue
Car,Petrol,BS4,0.43,449,0.21,0.016,0.72,0.98,Turbocharger Issue
Car,Petrol,BS4,0.56,377,0.13,0.023,0.52,0.87,Turbocharger Issue
Car,Petrol,BS6,0.45,460,0.12,0.011,0.72,1.06,Injector Problem
Car,Petrol,BS4,0.66,220,0.14,0.009,0.58,1.16,Air Filter Clogged
Car,Diesel,BS6,0.75,309,0.1,0.014,0.3,0.84,Rich Fuel Mixture
Car,Petrol,BS4,0.61,501,0.12,0.009,0.8,1.22,Engine Misfire
Car,Diesel,BS4,0.48,562,0.07,0.004,0.81,1.13,Engine Misfire
Car,Diesel,BS4,0.68,521,0.18,0.02,0.28,0.84,Rich Fuel Mixture
Car,Petrol,BS4,0.41,428,0.2,0.007,0.72,1.04,DPF Clogging
Car,Diesel,BS6,0.45,488,0.15,0.003,0.56,1.03,DPF Clogging
Car,Diesel,BS4,0.47,464,0.08,0.006,0.86,1.02,Spark Plug Issue
Car,Diesel,BS6,0.75,514,0.1,0.01,0.37,0.8,Rich Fuel Mixture
Car,Petrol,BS4,0.53,547,0.1,0.005,0.81,1.08,Spark Plug Issue
Car,Petrol,BS6,0.51,460,0.1,0.019,0.57,1.0,Turbocharger Issue
Car,Petrol,BS4,0.6,379,0.12,0.004,0.45,0.97,DPF Clogging
Car,Petrol,BS4,0.47,455,0.22,0.022,0.43,1.0,Turbocharger Issue
Car,Petrol,BS6,0.66,215,0.09,0.01,0.31,1.0,EGR Valve Problem
Car,Petrol,BS6,0.63,279,0.19,0.02,0.48,0.91,Injector Problem
Car,Diesel,BS6,0.86,415,0.09,0.019,0.31,0.89,Fuel Injector Issue
Car,Petrol,BS4,0.65,412,0.16,0.016,0.46,0.94,Injector Problem
Car,Diesel,BS4,0.89,393,0.11,0.013,0.48,0.83,Fuel Injector Issue
Car,Diesel,BS4,0.79,506,0.12,0.005,0.88,1.06,Engine Misfire
Car,Petrol,BS4,0.56,423,0.16,0.016,0.71,0.97,Injector Problem
Car,Diesel,BS4,0.55,551,0.18,0.013,0.23,0.73,Fuel Injector Issue
Car,Petrol,BS4,0.5,473,0.1,0.003,0.78,1.17,DPF Clogging
Car,Petrol,BS4,0.9,600,0.13,0.009,0.22,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.48,243,0.18,0.007,0.53,0.99,EGR Valve Problem
Car,Petrol,BS6,0.33,627,0.06,0.002,0.55,1.19,Spark Plug Issue
Car,Petrol,BS4,0.49,482,0.1,0.005,0.87,1.2,Engine Misfire
Car,Petrol,BS4,0.35,617,0.09,0.007,0.88,1.16,Spark Plug Issue
Car,Petrol,BS4,0.11,120,0.03,0.002,0.56,0.96,Normal
Car,Diesel,BS4,0.45,437,0.2,0.025,0.37,1.07,Injector Problem
Car,Petrol,BS6,0.24,71,0.03,0.002,0.69,0.95,Normal
Car,Petrol,BS6,0.68,303,0.24,0.02,0.55,1.08,Injector Problem
Car,Diesel,BS6,0.72,540,0.1,0.008,0.22,0.81,Fuel Injector Issue
Car,Petrol,BS4,0.49,475,0.15,0.021,0.69,0.88,Turbocharger Issue
Car,Diesel,BS4,0.46,210,0.08,0.01,0.37,0.94,Air Filter Clogged
Car,Petrol,BS4,0.77,494,0.11,0.016,0.39,0.8,Fuel Injector Issue
Car,Diesel,BS4,0.33,466,0.13,0.009,0.65,1.07,Spark Plug Issue
Car,Diesel,BS6,0.55,350,0.15,0.012,0.47,0.91,DPF Clogging
Car,Petrol,BS4,0.55,441,0.12,0.006,0.42,0.84,Fuel Injector Issue
Car,Petrol,BS6,0.56,434,0.18,0.017,0.29,0.73,Rich Fuel Mixture
Car,Petrol,BS4,0.54,344,0.24,0.012,0.52,0.95,Turbocharger Issue
Car,Petrol,BS6,0.2,109,0.05,0.002,0.59,1.0,Normal
Car,Petrol,BS6,0.3,604,0.12,0.009,0.85,1.2,Engine Misfire
Car,Diesel,BS6,0.52,422,0.15,0.01,0.6,1.19,Spark Plug Issue
Car,Petrol,BS6,0.48,371,0.11,0.017,0.72,0.89,Injector Problem
Car,Diesel,BS6,0.62,319,0.21,0.012,0.46,0.84,Injector Problem
Car,Diesel,BS6,0.68,442,0.14,0.023,0.67,0.92,Injector Problem
Car,Petrol,BS4,0.61,423,0.13,0.013,0.49,1.09,EGR Valve Problem
Car,Petrol,BS6,0.58,465,0.11,0.004,0.54,1.2,DPF Clogging
Car,Diesel,BS6,0.49,478,0.09,0.004,0.65,0.92,Air Filter Clogged
Car,Diesel,BS4,0.62,632,0.15,0.008,0.84,1.2,Engine Misfire
Car,Petrol,BS6,0.45,426,0.18,0.019,0.75,1.01,Injector Problem
Car,Diesel,BS4,0.57,379,0.24,0.023,0.51,0.96,Injector Problem
Car,Petrol,BS4,0.56,216,0.12,0.008,0.6,1.06,DPF Clogging
Car,Petrol,BS4,0.47,313,0.1,0.009,0.66,1.14,DPF Clogging
Car,Petrol,BS6,0.45,327,0.11,0.007,0.36,1.11,DPF Clogging
Car,Petrol,BS4,0.47,276,0.24,0.017,0.77,1.0,Injector Problem
Car,Diesel,BS6,0.55,346,0.12,0.009,0.63,1.08,DPF Clogging
Car,Diesel,BS6,0.56,311,0.12,0.018,0.42,0.93,Injector Problem
Car,Petrol,BS6,0.75,573,0.16,0.006,0.33,0.84,Fuel Injector Issue
Car,Diesel,BS4,0.56,397,0.16,0.025,0.47,0.93,Turbocharger Issue
Car,Diesel,BS6,0.72,417,0.16,0.011,0.25,0.78,Rich Fuel Mixture
Car,Diesel,BS6,0.41,352,0.1,0.009,0.31,1.15,EGR Valve Problem
Car,Petrol,BS6,0.53,432,0.05,0.003,0.76,1.14,Spark Plug Issue
Car,Petrol,BS4,0.44,459,0.24,0.02,0.55,0.85,Turbocharger Issue
Car,Diesel,BS4,0.48,452,0.12,0.012,0.55,1.11,Air Filter Clogged
Car,Diesel,BS6,0.49,206,0.12,0.012,0.34,1.07,EGR Valve Problem
Car,Diesel,BS6,0.66,206,0.13,0.013,0.76,1.07,Air Filter Clogged
Car,Diesel,BS4,0.53,363,0.19,0.01,0.8,1.02,DPF Clogging
Car,Petrol,BS6,0.13,143,0.01,0.001,0.6,1.01,Normal
Car,Petrol,BS6,0.68,266,0.12,0.007,0.71,1.16,EGR Valve Problem
Car,Diesel,BS6,0.67,233,0.16,0.002,0.54,0.96,DPF Clogging
Car,Diesel,BS6,0.39,523,0.06,0.005,0.54,1.26,Engine Misfire
Car,Diesel,BS4,0.57,488,0.18,0.016,0.71,0.98,Injector Problem
Car,Petrol,BS6,0.44,223,0.19,0.011,0.75,1.18,DPF Clogging
Car,Diesel,BS6,0.32,691,0.14,0.009,0.8,1.16,Spark Plug Issue
Car,Petrol,BS4,0.69,391,0.12,0.016,0.26,0.93,Fuel Injector Issue
Car,Petrol,BS6,0.6,485,0.25,0.011,0.49,1.02,Injector Problem
Car,Petrol,BS6,0.5,381,0.11,0.024,0.5,0.97,Turbocharger Issue
Car,Diesel,BS6,0.78,474,0.16,0.012,0.38,0.82,Rich Fuel Mixture
Car,Diesel,BS6,0.49,438,0.12,0.02,0.6,0.96,Turbocharger Issue
